,index,O*NET-SOC Code,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
29,28,11-1011.00,8852,"They represent organizations or promote their objectives at official functions, or delegate representatives to do so.",Supplemental,86.0,07/2014,Incumbent
30,25,11-1011.00,8853,"They prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",Supplemental,86.0,07/2014,Incumbent
31,47,11-1011.03,15367,"They identify educational, training, or other development opportunities for sustainability employees or volunteers.",Core,27.0,08/2021,Occupational Expert
32,37,11-1011.03,15368,They identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,Core,27.0,08/2021,Occupational Expert
33,48,11-1011.03,15369,They conduct risk assessments related to sustainability and the environment.,Core,27.0,08/2021,Occupational Expert
34,38,11-1011.03,15370,"They create and maintain sustainability program documents, such as schedules and budgets.",Core,27.0,08/2021,Occupational Expert
35,46,11-1011.03,15371,"They write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",Core,27.0,08/2021,Occupational Expert
36,34,11-1011.03,15372,They supervise employees or volunteers working on sustainability projects.,Core,27.0,08/2021,Occupational Expert
37,45,11-1011.03,15373,They write and distribute financial or environmental impact reports.,Core,27.0,08/2021,Occupational Expert
38,44,11-1011.03,15374,"They review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",Core,27.0,08/2021,Occupational Expert
39,39,11-1011.03,15375,They formulate or implement sustainability campaign or marketing strategies.,Core,27.0,08/2021,Occupational Expert
40,40,11-1011.03,15376,"They research environmental sustainability issues, concerns, or stakeholder interests.",Core,27.0,08/2021,Occupational Expert
41,42,11-1011.03,15377,"They evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",Core,27.0,08/2021,Occupational Expert
42,35,11-1011.03,15378,"They develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Core,27.0,08/2021,Occupational Expert
43,33,11-1011.03,15379,"They develop, or oversee the development of, sustainability evaluation or monitoring systems.",Core,27.0,08/2021,Occupational Expert
44,36,11-1011.03,15380,"They develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",Core,27.0,08/2021,Occupational Expert
45,43,11-1011.03,15381,They develop methodologies to assess the viability or success of sustainability initiatives.,Core,27.0,08/2021,Occupational Expert
46,31,11-1011.03,15382,They monitor and evaluate effectiveness of sustainability programs.,Core,27.0,08/2021,Occupational Expert
47,41,11-1011.03,15383,They direct sustainability program operations to ensure compliance with environmental or governmental regulations.,Core,27.0,08/2021,Occupational Expert
48,32,11-1011.03,15384,"They develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",Core,27.0,08/2021,Occupational Expert
49,50,11-1021.00,933,"They direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,157.0,07/2015,Incumbent
50,49,11-1021.00,20699,"They review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,157.0,07/2015,Incumbent
51,51,11-1021.00,20700,They direct administrative activities directly related to making products or providing services.,Core,156.0,07/2015,Incumbent
52,52,11-1021.00,20701,They prepare staff work schedules and assign specific duties.,Core,158.0,07/2015,Incumbent
53,53,11-1021.00,20702,They monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,157.0,07/2015,Incumbent
54,54,11-1021.00,20703,"They direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,157.0,07/2015,Incumbent
55,55,11-1021.00,20704,"They establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,157.0,07/2015,Incumbent
56,56,11-1021.00,20705,"They perform personnel functions, such as selection, training, or evaluation.",Core,158.0,07/2015,Incumbent
57,57,11-1021.00,20706,"They plan or direct activities, such as sales promotions, that require coordination with other department managers.",Core,158.0,07/2015,Incumbent
58,60,11-1021.00,944,"They perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,158.0,07/2015,Incumbent
59,61,11-1021.00,945,"They develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Supplemental,158.0,07/2015,Incumbent
60,64,11-1021.00,947,"They direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,158.0,07/2015,Incumbent
61,62,11-1021.00,948,"They recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",Supplemental,158.0,07/2015,Incumbent
62,65,11-1021.00,949,They plan store layouts or design displays.,Supplemental,158.0,07/2015,Incumbent
63,63,11-1021.00,19501,"They implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",Supplemental,157.0,07/2015,Incumbent
64,58,11-1021.00,20707,"They set prices or credit terms for goods or services, based on forecasts of customer demand.",Supplemental,158.0,07/2015,Incumbent
65,59,11-1021.00,20708,"They manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",Supplemental,158.0,07/2015,Incumbent
66,66,11-1031.00,15267,They analyze and understand the local and national implications of proposed legislation.,,,06/2006,Analyst
67,67,11-1031.00,15268,"They appoint nominees to leadership posts, or approve such appointments.",,,06/2006,Analyst
68,68,11-1031.00,15269,They confer with colleagues to formulate positions and strategies pertaining to pending issues.,,,06/2006,Analyst
69,69,11-1031.00,15270,"They debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",,,06/2006,Analyst
70,70,11-1031.00,15271,They develop expertise in subject matters related to committee assignments.,,,06/2006,Analyst
71,71,11-1031.00,15272,"They hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",,,06/2006,Analyst
72,72,11-1031.00,15273,"They keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",,,06/2006,Analyst
73,73,11-1031.00,15274,They maintain knowledge of relevant national and international current events.,,,06/2006,Analyst
74,74,11-1031.00,15275,"They make decisions that balance the perspectives of private citizens, public officials, and party leaders.",,,06/2006,Analyst
75,75,11-1031.00,15276,"They negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",,,06/2006,Analyst
76,76,11-1031.00,15277,"They prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",,,06/2006,Analyst
77,77,11-1031.00,15278,They read and review concerns of constituents or the general public and determine if governmental action is necessary.,,,06/2006,Analyst
78,78,11-1031.00,15279,"They represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",,,06/2006,Analyst
79,79,11-1031.00,15280,"They review bills in committee, and make recommendations about their future.",,,06/2006,Analyst
80,80,11-1031.00,15281,They seek federal funding for local projects and programs.,,,06/2006,Analyst
81,81,11-1031.00,15282,"They serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",,,06/2006,Analyst
82,82,11-1031.00,15283,"They vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",,,06/2006,Analyst
83,83,11-1031.00,15284,"They write, prepare, and deliver statements for the congressional record.",,,06/2006,Analyst
84,84,11-1031.00,15285,"They alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",,,06/2006,Analyst
85,85,11-1031.00,15286,"They attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",,,06/2006,Analyst
86,86,11-1031.00,15287,"They conduct ""head counts"" to help predict the outcome of upcoming votes.",,,06/2006,Analyst
87,87,11-1031.00,15288,"They determine campaign strategies for media advertising, positions on issues, and public appearances.",,,06/2006,Analyst
88,88,11-1031.00,15289,They encourage and support party candidates for political office.,,,06/2006,Analyst
89,89,11-1031.00,15290,"They establish personal offices in local districts or states, and manage office staff.",,,06/2006,Analyst
90,90,11-1031.00,15291,"They evaluate the structure, efficiency, activities, and performance of government agencies.",,,06/2006,Analyst
91,91,11-1031.00,15292,"They organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",,,06/2006,Analyst
92,92,11-1031.00,15293,"They oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",,,06/2006,Analyst
93,93,11-1031.00,15294,They promote the industries and products of their electoral districts.,,,06/2006,Analyst
94,94,11-1031.00,15295,"They represent their government at local, national, and international meetings and conferences.",,,06/2006,Analyst
95,95,11-1031.00,15296,They speak to students to encourage and support the development of future political leaders.,,,06/2006,Analyst
96,103,11-2011.00,3223,They prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,71.0,08/2018,Incumbent
97,96,11-2011.00,3224,"They plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,73.0,08/2018,Incumbent
98,97,11-2011.00,3226,"They inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,72.0,08/2018,Incumbent
99,100,11-2011.00,3227,"They coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Core,71.0,08/2018,Incumbent
100,106,11-2011.00,3229,"They identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,73.0,08/2018,Incumbent
101,98,11-2011.00,3231,"They confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,72.0,08/2018,Incumbent
102,105,11-2011.00,3233,They monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,71.0,08/2018,Incumbent
103,108,11-2011.00,3234,"They read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,72.0,08/2018,Incumbent
104,102,11-2011.00,3237,"They direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,72.0,08/2018,Incumbent
105,101,11-2011.00,3238,They plan and execute advertising policies and strategies for organizations.,Core,71.0,08/2018,Incumbent
106,107,11-2011.00,3239,"They track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",Core,72.0,08/2018,Incumbent
107,99,11-2011.00,3242,They coordinate with the media to disseminate advertising.,Core,71.0,08/2018,Incumbent
108,104,11-2011.00,3243,They contact organizations to explain services and facilities offered.,Core,74.0,08/2018,Incumbent
109,110,11-2011.00,3228,They prepare and negotiate advertising and sales contracts.,Supplemental,72.0,08/2018,Incumbent
110,111,11-2011.00,3235,They formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Supplemental,69.0,08/2018,Incumbent
111,114,11-2011.00,3236,They provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Supplemental,72.0,08/2018,Incumbent
112,113,11-2011.00,3240,"They assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",Supplemental,72.0,08/2018,Incumbent
113,112,11-2011.00,3241,They train and direct workers engaged in developing and producing advertisements.,Supplemental,72.0,08/2018,Incumbent
114,116,11-2011.00,3244,They direct and coordinate product research and development.,Supplemental,71.0,08/2018,Incumbent
115,115,11-2011.00,3245,They represent company at trade association meetings to promote products.,Supplemental,74.0,08/2018,Incumbent
116,109,11-2011.00,18586,"They manage sales team, including setting goals, providing incentives, and evaluating employee performance.",Supplemental,72.0,08/2018,Incumbent
117,117,11-2011.00,21217,They analyze marketing or sales trends to forecast future conditions.,,,11/2020,Analyst
118,118,11-2011.00,21218,They analyze the effectiveness of marketing tactics or channels.,,,11/2020,Analyst
119,119,11-2011.00,21219,"They attend or participate in conferences, community events, and promotional events related to products or technologies.",,,11/2020,Analyst
120,120,11-2011.00,21220,"They conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",,,11/2020,Analyst
121,121,11-2011.00,21221,"They coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.",,,11/2020,Analyst
122,122,11-2011.00,21222,"They develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.",,,11/2020,Analyst
123,123,11-2011.00,21223,"They develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.",,,11/2020,Analyst
124,124,11-2011.00,21224,"They devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",,,11/2020,Analyst
125,125,11-2011.00,21225,"They maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",,,11/2020,Analyst
126,129,11-2021.00,950,"They develop pricing strategies, balancing firm objectives and customer satisfaction.",Core,117.0,07/2015,Incumbent
127,126,11-2021.00,951,"They identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,117.0,07/2015,Incumbent
128,128,11-2021.00,952,"They evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Core,116.0,07/2015,Incumbent
129,131,11-2021.00,954,"They direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",Core,117.0,07/2015,Incumbent
130,134,11-2021.00,955,"They negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",Core,115.0,07/2015,Incumbent
131,132,11-2021.00,956,"They consult with product development personnel on product specifications, such as design, color, or packaging.",Core,113.0,07/2015,Incumbent
132,130,11-2021.00,957,They compile lists describing product or service offerings.,Core,116.0,07/2015,Incumbent
133,133,11-2021.00,958,"They use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",Core,116.0,07/2015,Incumbent
134,137,11-2021.00,960,"They confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",Core,115.0,07/2015,Incumbent
135,135,11-2021.00,961,"They coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Core,116.0,07/2015,Incumbent
136,136,11-2021.00,963,"They initiate market research studies, or analyze their findings.",Core,116.0,07/2015,Incumbent
137,127,11-2021.00,20709,"They formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Core,117.0,07/2015,Incumbent
138,143,11-2021.00,959,They select products or accessories to be displayed at trade or special production shows.,Supplemental,115.0,07/2015,Incumbent
139,142,11-2021.00,962,"They advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Supplemental,113.0,07/2015,Incumbent
140,138,11-2021.00,964,They consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,Supplemental,116.0,07/2015,Incumbent
141,140,11-2021.00,965,They conduct economic or commercial surveys to identify potential markets for products or services.,Supplemental,116.0,07/2015,Incumbent
142,139,11-2021.00,19502,They consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,Supplemental,116.0,07/2015,Incumbent
143,144,11-2021.00,19503,They develop business cases for environmental marketing strategies.,Supplemental,115.0,07/2015,Incumbent
144,145,11-2021.00,19504,"They integrate environmental information into product or company marketing strategies, policies, or activities.",Supplemental,116.0,07/2015,Incumbent
145,141,11-2021.00,19505,"They recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",Supplemental,116.0,07/2015,Incumbent
146,147,11-2022.00,1,They resolve customer complaints regarding sales and service.,Core,23.0,07/2016,Occupational Expert
147,152,11-2022.00,2,They monitor customer preferences to determine focus of sales efforts.,Core,23.0,07/2016,Occupational Expert
148,146,11-2022.00,3,"They direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.",Core,23.0,07/2016,Occupational Expert
149,150,11-2022.00,4,They determine price schedules and discount rates.,Core,23.0,07/2016,Occupational Expert
150,148,11-2022.00,5,They review operational records and reports to project sales and determine profitability.,Core,23.0,07/2016,Occupational Expert
151,154,11-2022.00,6,"They direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations.",Core,23.0,07/2016,Occupational Expert
152,157,11-2022.00,7,They confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,Core,23.0,07/2016,Occupational Expert
153,156,11-2022.00,8,They advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,Core,23.0,07/2016,Occupational Expert
154,151,11-2022.00,9,They prepare budgets and approve budget expenditures.,Core,23.0,07/2016,Occupational Expert
155,158,11-2022.00,10,They represent company at trade association meetings to promote products.,Core,22.0,07/2016,Occupational Expert
156,153,11-2022.00,11,"They plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",Core,22.0,07/2016,Occupational Expert
157,149,11-2022.00,14,They oversee regional and local sales managers and their staffs.,Core,23.0,07/2016,Occupational Expert
158,155,11-2022.00,15,"They direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",Core,23.0,07/2016,Occupational Expert
159,161,11-2022.00,12,They visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,Supplemental,23.0,07/2016,Occupational Expert
160,159,11-2022.00,13,They confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.,Supplemental,23.0,07/2016,Occupational Expert
161,162,11-2022.00,16,They direct foreign sales and service outlets of an organization.,Supplemental,22.0,07/2016,Occupational Expert
162,160,11-2022.00,17,"They assess marketing potential of new and existing store locations, considering statistics and expenditures.",Supplemental,22.0,07/2016,Occupational Expert
163,163,11-2032.00,21226,"They assign, supervise, and review the activities of public relations staff.",,,11/2020,Analyst
164,164,11-2032.00,21227,They confer with labor relations managers to develop internal communications that keep employees informed of company activities.,,,11/2020,Analyst
165,165,11-2032.00,21228,"They design and edit promotional publications, such as brochures.",,,11/2020,Analyst
166,166,11-2032.00,21229,"They develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",,,11/2020,Analyst
167,167,11-2032.00,21230,"They develop, implement, or maintain crisis communication plans.",,,11/2020,Analyst
168,168,11-2032.00,21231,"They direct activities of external agencies, establishments, or departments that develop and implement communication strategies and information programs.",,,11/2020,Analyst
169,169,11-2032.00,21232,They draft speeches for company executives and arrange interviews and other forms of contact for them.,,,11/2020,Analyst
170,170,11-2032.00,21233,"They establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",,,11/2020,Analyst
171,171,11-2032.00,21234,They evaluate advertising and promotion programs for compatibility with public relations efforts.,,,11/2020,Analyst
172,172,11-2032.00,21235,"They facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",,,11/2020,Analyst
173,173,11-2032.00,21236,"They formulate policies and procedures related to public information programs, working with public relations executives.",,,11/2020,Analyst
174,174,11-2032.00,21237,"They identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",,,11/2020,Analyst
175,175,11-2032.00,21238,They maintain company archives.,,,11/2020,Analyst
176,176,11-2032.00,21239,They manage communications budgets.,,,11/2020,Analyst
177,177,11-2032.00,21240,They manage in-house communication courses.,,,11/2020,Analyst
178,178,11-2032.00,21241,"They manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.",,,11/2020,Analyst
179,179,11-2032.00,21242,"They observe and report on social, economic, and political trends that might affect employers.",,,11/2020,Analyst
180,180,11-2032.00,21243,"They produce films and other video products, regulate their distribution, and operate film library.",,,11/2020,Analyst
181,181,11-2032.00,21244,They respond to requests for information about employers' activities or status.,,,11/2020,Analyst
182,182,11-2032.00,21245,"They write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",,,11/2020,Analyst
183,183,11-2033.00,21246,"They assign, supervise, and review the activities of fundraising staff.",,,11/2020,Analyst
184,184,11-2033.00,21247,They compile or develop materials to submit to granting or other funding organizations.,,,11/2020,Analyst
185,185,11-2033.00,21248,"They conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",,,11/2020,Analyst
186,186,11-2033.00,21249,"They contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs.",,,11/2020,Analyst
187,187,11-2033.00,21250,"They design and edit promotional publications, such as brochures.",,,11/2020,Analyst
188,188,11-2033.00,21251,They develop fundraising activity plans that maximize participation or contributions and minimize costs.,,,11/2020,Analyst
189,189,11-2033.00,21252,They develop strategies to encourage new or increased contributions.,,,11/2020,Analyst
190,190,11-2033.00,21253,"They direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs.",,,11/2020,Analyst
191,191,11-2033.00,21254,"They establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities.",,,11/2020,Analyst
192,192,11-2033.00,21255,"They establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",,,11/2020,Analyst
193,193,11-2033.00,21256,They evaluate advertising and promotion programs for compatibility with fundraising efforts.,,,11/2020,Analyst
194,194,11-2033.00,21257,They formulate policies and procedures related to fundraising programs.,,,11/2020,Analyst
195,195,11-2033.00,21258,They manage fundraising budgets.,,,11/2020,Analyst
196,196,11-2033.00,21259,"They plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",,,11/2020,Analyst
197,197,11-2033.00,21260,"They produce films and other video products, regulate their distribution, and operate film library.",,,11/2020,Analyst
198,198,11-2033.00,21261,"They write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",,,11/2020,Analyst
199,200,11-3012.00,20,They set goals and deadlines for the department.,Core,133.0,07/2017,Incumbent
200,199,11-3012.00,21,They prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,133.0,07/2017,Incumbent
201,202,11-3012.00,22,"They analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",Core,134.0,07/2017,Incumbent
202,201,11-3012.00,23,"They acquire, distribute and store supplies.",Core,133.0,07/2017,Incumbent
203,203,11-3012.00,30,They conduct classes to teach procedures to staff.,Core,134.0,07/2017,Incumbent
204,206,11-3012.00,19,"They direct or coordinate the supportive services department of a business, agency, or organization.",Supplemental,133.0,07/2017,Incumbent
205,204,11-3012.00,24,"They plan, administer, and control budgets for contracts, equipment, and supplies.",Supplemental,133.0,07/2017,Incumbent
206,205,11-3012.00,26,They hire and terminate clerical and administrative personnel.,Supplemental,133.0,07/2017,Incumbent
207,207,11-3012.00,21262,"They communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.",,,11/2020,Analyst
208,208,11-3012.00,21263,They develop operational standards and procedures for the work unit or department.,,,11/2020,Analyst
209,209,11-3012.00,21264,They establish work procedures or schedules to organize the daily work of administrative staff.,,,11/2020,Analyst
210,210,11-3012.00,21265,They learn to operate new office technologies as they are developed and implemented.,,,11/2020,Analyst
211,211,11-3012.00,21266,"They manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.",,,11/2020,Analyst
212,212,11-3012.00,21267,"They meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.",,,11/2020,Analyst
213,213,11-3012.00,21268,"They oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.",,,11/2020,Analyst
214,214,11-3012.00,21269,"They read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance.",,,11/2020,Analyst
215,215,11-3012.00,21270,They represent work unit at meetings or conferences and serve as liaison for requests or complaints.,,,11/2020,Analyst
216,216,11-3012.00,21271,They supervise administrative staff and provide training and orientation to new staff.,,,11/2020,Analyst
217,217,11-3013.00,21272,"They acquire, distribute and store supplies.",,,11/2020,Analyst
218,218,11-3013.00,21273,They conduct classes to teach procedures to staff.,,,11/2020,Analyst
219,219,11-3013.00,21274,"They dispose of, or oversee the disposal of, surplus or unclaimed property.",,,11/2020,Analyst
220,220,11-3013.00,21275,They manage leasing of facility space.,,,11/2020,Analyst
221,221,11-3013.00,21276,"They monitor the facility to ensure that it remains safe, secure, and well-maintained.",,,11/2020,Analyst
222,222,11-3013.00,21277,"They oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.",,,11/2020,Analyst
223,223,11-3013.00,21278,"They oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.",,,11/2020,Analyst
224,224,11-3013.00,21279,"They participate in architectural and engineering planning and design, including space and installation management.",,,11/2020,Analyst
225,225,11-3013.00,21280,"They plan, administer, and control budgets for contracts, equipment, and supplies.",,,11/2020,Analyst
226,226,11-3013.00,21281,They prepare and review operational reports and schedules to ensure accuracy and efficiency.,,,11/2020,Analyst
